Country,Year,Month,Day of Week,Time of Day,Urban/Rural,Road Type,Weather Conditions,Visibility Level,Number of Vehicles Involved,Speed Limit,Driver Age Group,Driver Gender,Driver Alcohol Level,Driver Fatigue,Vehicle Condition,Pedestrians Involved,Cyclists Involved,Accident Severity,Number of Injuries,Number of Fatalities,Emergency Response Time,Traffic Volume,Road Condition,Accident Cause,Insurance Claims,Medical Cost,Economic Loss,Region,Population Density,Cluster
Brazil,2007,March,Saturday,Morning,Urban,Street,Rainy,486.8409116,3,90,26-40,Male,0.184641744,1,Good,1,1,Moderate,7,4,46.06465275,4435.113951,Snow-covered,Weather,2,25061.12552,31373.74212,North America,2805.66118,1
Japan,2020,April,Monday,Evening,Urban,Main Road,Clear,246.4684542,1,85,26-40,Male,0.242632014,1,Poor,0,0,Moderate,4,0,30.7472578,9567.01283,Wet,Weather,3,44076.37102,42051.77465,Australia,4048.692015,0
Germany,2024,February,Sunday,Evening,Urban,Highway,Rainy,58.85116172,2,78,26-40,Male,0.161356365,1,Poor,1,1,Minor,16,2,57.70202169,4833.236303,Wet,Mechanical Failure,6,45009.54416,9428.676065,Australia,3192.627948,2
Brazil,2006,June,Tuesday,Evening,Urban,Street,Windy,185.4598212,4,75,<18,Male,0.132916232,1,Poor,2,1,Minor,8,2,24.51732301,7585.240067,Dry,Mechanical Failure,5,9022.448882,75549.8458,Europe,2585.238299,0
Australia,2022,August,Thursday,Night,Rural,Street,Foggy,248.1151793,1,57,41-60,Male,0.232150001,0,Poor,1,1,Severe,0,2,23.03776555,6441.471461,Icy,Weather,6,25132.13461,4388.935778,North America,3854.63167,0
China,2013,December,Thursday,Night,Rural,Main Road,Foggy,392.4882222,2,107,<18,Female,0.204249898,1,Moderate,2,0,Severe,1,4,49.17688527,7961.600935,Wet,Drunk Driving,0,24536.09281,96224.54926,North America,316.3037121,3
India,2007,September,Wednesday,Afternoon,Rural,Street,Foggy,485.5318079,4,47,41-60,Male,0.071436103,0,Poor,1,2,Moderate,3,3,50.16701046,4262.473421,Snow-covered,Distracted Driving,9,10354.45349,46651.38032,Europe,4371.56039,1
India,2005,May,Friday,Evening,Rural,Street,Clear,360.5623683,4,114,18-25,Female,0.116554559,1,Good,1,2,Minor,2,3,34.83230251,7605.606591,Snow-covered,Mechanical Failure,2,18280.44975,32121.14179,Australia,3309.247828,0
Japan,2024,February,Friday,Night,Rural,Main Road,Foggy,133.2170177,4,39,18-25,Male,0.214660807,1,Good,1,2,Moderate,11,3,39.51666086,1730.931351,Wet,Weather,1,24448.84478,1804.45478,Asia,927.3944051,1
USA,2013,November,Wednesday,Morning,Rural,Main Road,Clear,180.4439893,2,92,41-60,Male,0.174040335,1,Moderate,0,1,Severe,9,2,25.49928663,3852.712,Snow-covered,Drunk Driving,9,17181.57275,68871.06208,Australia,3585.460764,1
Japan,2005,November,Wednesday,Evening,Urban,Main Road,Clear,259.3151844,2,116,41-60,Male,0.113476928,0,Good,2,0,Minor,15,2,58.21558433,7240.477752,Icy,Distracted Driving,8,48950.43578,25872.24327,North America,4180.456399,3
Canada,2000,September,Tuesday,Afternoon,Urban,Street,Rainy,251.929822,4,74,<18,Male,0.181945079,0,Good,2,0,Moderate,14,1,20.20612631,3028.622907,Icy,Mechanical Failure,9,6884.238887,9505.96969,South America,2046.851821,4
Canada,2000,May,Thursday,Morning,Urban,Highway,Rainy,202.5765608,4,75,41-60,Male,0.07888741,1,Moderate,2,1,Minor,5,4,16.45889263,5676.832698,Wet,Speeding,8,22500.69889,56665.81443,Australia,1029.779462,3
USA,2012,July,Thursday,Evening,Urban,Street,Rainy,371.832726,3,86,26-40,Male,0.020312914,1,Moderate,0,1,Minor,11,3,14.84669405,8291.990215,Snow-covered,Speeding,7,44644.28112,45475.89417,South America,70.90323327,3
India,2009,October,Tuesday,Night,Rural,Highway,Windy,236.5510814,4,77,61+,Male,0.22978449,0,Poor,1,1,Minor,13,2,10.33216524,6775.284554,Wet,Weather,1,48818.18907,53399.14113,North America,4207.379124,3
Brazil,2020,January,Thursday,Afternoon,Rural,Highway,Foggy,344.8435428,4,39,<18,Female,0.016729427,1,Poor,2,2,Moderate,0,2,26.25935948,2542.137055,Wet,Distracted Driving,8,43481.39815,39963.25242,South America,1913.642701,2
India,2004,October,Thursday,Morning,Urban,Main Road,Foggy,420.756105,2,95,26-40,Female,0.159068576,1,Moderate,1,0,Severe,1,2,55.35227265,8453.200801,Dry,Drunk Driving,9,49181.40975,89233.19545,Australia,3638.599382,0
India,2004,July,Friday,Evening,Rural,Highway,Windy,306.5611834,3,113,26-40,Male,0.116622485,0,Good,2,1,Minor,4,4,14.73563916,7178.426534,Icy,Speeding,8,45295.85651,71797.20051,North America,4761.906691,3
Australia,2019,April,Tuesday,Night,Rural,Highway,Clear,156.6520227,2,86,61+,Female,0.106125177,0,Poor,1,2,Moderate,7,3,8.628091231,3912.04942,Dry,Drunk Driving,9,13854.53537,56527.00917,South America,4392.201413,1
Japan,2015,January,Saturday,Evening,Rural,Main Road,Clear,157.6103574,4,55,61+,Female,0.221100334,1,Poor,0,2,Moderate,17,2,48.45018545,4311.061789,Icy,Distracted Driving,2,14238.94153,95290.18873,South America,4849.541628,4
China,2008,May,Saturday,Evening,Rural,Street,Rainy,438.6007672,4,56,<18,Female,0.108995733,1,Good,2,0,Moderate,6,2,39.6187465,947.0706226,Dry,Speeding,9,22078.78665,73819.52879,Asia,4275.020725,1
Brazil,2018,January,Friday,Morning,Rural,Main Road,Windy,210.7753951,4,50,<18,Female,0.008292226,1,Moderate,2,1,Severe,15,4,7.092874734,6022.045683,Icy,Distracted Driving,0,23537.25624,28099.73609,South America,3507.428888,3
Brazil,2011,February,Saturday,Night,Urban,Main Road,Windy,425.748737,4,71,26-40,Male,0.236993052,0,Moderate,0,0,Minor,19,4,10.86276469,565.959383,Icy,Weather,4,27481.27841,48148.36945,Asia,3546.215616,2
Germany,2012,December,Thursday,Afternoon,Urban,Highway,Windy,107.8399777,1,114,61+,Male,0.044372309,0,Moderate,1,1,Moderate,15,1,20.39157415,731.9638354,Wet,Weather,8,15333.66048,25972.77213,South America,1503.018383,4
Brazil,2010,December,Sunday,Morning,Urban,Main Road,Snowy,185.7978508,1,106,18-25,Female,0.239312113,0,Moderate,1,0,Severe,12,3,19.38494316,8163.768639,Dry,Distracted Driving,5,43238.89019,94368.42252,Australia,4466.708026,3
Russia,2007,November,Tuesday,Morning,Urban,Main Road,Snowy,331.0293311,2,107,26-40,Male,0.112399983,1,Good,2,1,Severe,17,3,51.01955972,217.4068405,Wet,Weather,2,10417.73216,76730.81382,South America,932.901236,1
China,2023,December,Saturday,Afternoon,Urban,Street,Foggy,249.2760308,3,72,41-60,Female,0.148986672,1,Good,1,1,Moderate,19,1,38.97530082,8866.520413,Wet,Weather,7,37184.54199,14673.90015,North America,3564.346268,4
Australia,2001,September,Sunday,Evening,Rural,Highway,Snowy,464.1531635,3,98,18-25,Female,0.219935561,1,Poor,1,1,Moderate,12,2,16.25374919,1988.729738,Dry,Drunk Driving,2,8165.88495,48477.40377,Asia,4547.651368,1
USA,2003,September,Tuesday,Morning,Urban,Street,Foggy,309.7650122,3,86,18-25,Male,0.189705129,1,Poor,2,0,Minor,9,4,14.05327527,4879.077584,Icy,Distracted Driving,5,15785.16344,95060.27704,Asia,4379.708413,1
Brazil,2003,January,Saturday,Morning,Urban,Main Road,Rainy,476.7193262,2,73,41-60,Male,0.115910602,1,Poor,2,0,Moderate,4,3,21.2843172,8733.238607,Icy,Speeding,4,42275.29011,47085.72078,Australia,60.45031881,3
Germany,2012,February,Thursday,Morning,Urban,Highway,Windy,160.6231627,3,113,61+,Male,0.106473077,0,Poor,0,2,Moderate,14,4,18.61500518,1716.168228,Dry,Distracted Driving,3,20809.65879,29221.88906,North America,4138.781779,1
UK,2011,December,Tuesday,Afternoon,Urban,Highway,Snowy,147.6005382,1,46,18-25,Male,0.07335537,0,Poor,0,1,Moderate,3,0,9.705170638,9242.510353,Snow-covered,Mechanical Failure,8,26071.19913,68099.57057,Asia,2630.632549,0
Brazil,2017,September,Sunday,Morning,Rural,Street,Windy,363.4993804,4,94,41-60,Male,0.191827644,0,Good,1,1,Moderate,9,0,25.89735065,3357.467132,Dry,Weather,1,25158.40601,75350.56799,Europe,858.9041706,4
Germany,2024,February,Sunday,Night,Urban,Main Road,Clear,59.04932408,3,38,26-40,Male,0.12376229,1,Poor,0,0,Minor,3,1,48.41040897,6686.810361,Dry,Drunk Driving,9,46661.86923,95553.5003,Asia,325.152262,0
India,2010,August,Sunday,Afternoon,Rural,Street,Rainy,238.536324,1,118,<18,Female,0.101455683,1,Poor,0,2,Moderate,16,1,38.8812354,7911.377953,Icy,Mechanical Failure,9,11147.06264,77194.63502,Europe,2068.686931,4
Germany,2016,October,Friday,Night,Rural,Highway,Clear,406.8255034,3,106,18-25,Male,0.059594326,1,Poor,1,1,Severe,9,3,31.73762762,5385.161043,Dry,Drunk Driving,4,703.7477721,97392.05199,South America,2671.673517,1
India,2001,December,Tuesday,Evening,Rural,Street,Rainy,72.99586431,4,70,61+,Male,0.240579489,0,Good,1,2,Minor,18,0,48.95814118,5843.516422,Wet,Mechanical Failure,8,6953.319736,74433.97237,North America,4661.065276,4
Canada,2007,March,Sunday,Morning,Rural,Highway,Foggy,86.59876646,1,92,26-40,Male,0.031692123,1,Good,1,2,Minor,7,3,18.4104549,5648.23609,Icy,Mechanical Failure,2,36516.23512,11678.43196,Europe,2568.506545,3
China,2020,February,Tuesday,Afternoon,Urban,Street,Rainy,488.5978706,4,92,41-60,Female,0.203597888,0,Moderate,2,2,Moderate,18,3,5.64949246,3917.854691,Icy,Mechanical Failure,9,28383.96375,86771.83358,Europe,3093.521151,2
Brazil,2005,August,Sunday,Night,Urban,Main Road,Rainy,483.8413286,3,112,26-40,Male,0.077905223,1,Moderate,1,1,Severe,17,1,11.95535264,6702.694775,Icy,Speeding,7,34625.78875,97203.07397,Asia,2353.852316,4
China,2010,June,Sunday,Morning,Rural,Highway,Foggy,424.1815412,4,41,61+,Male,0.055426566,1,Poor,1,1,Severe,9,0,59.5443116,7173.640272,Snow-covered,Mechanical Failure,4,39645.92293,40806.54268,Europe,2729.822374,0
Japan,2002,April,Saturday,Morning,Urban,Main Road,Rainy,203.5315224,3,86,61+,Female,0.061292076,1,Poor,1,0,Moderate,0,3,56.34820249,7260.610673,Snow-covered,Weather,5,3031.453673,97581.28988,Europe,3864.419699,1
Australia,2012,May,Monday,Morning,Rural,Street,Foggy,359.1164452,3,93,<18,Female,0.230119,1,Poor,0,0,Minor,18,3,38.28467943,2748.357863,Icy,Distracted Driving,9,3103.925898,2699.627536,Europe,809.2501657,1
UK,2021,September,Wednesday,Night,Rural,Main Road,Snowy,195.3921604,2,42,18-25,Male,0.119753967,1,Moderate,0,2,Severe,4,1,56.99955329,5836.699058,Dry,Distracted Driving,2,46644.62712,92438.69916,Australia,2709.32789,0
Canada,2014,November,Monday,Night,Urban,Main Road,Clear,246.8918753,3,115,41-60,Male,0.105253667,1,Moderate,1,2,Severe,2,4,31.92691811,890.6839305,Dry,Distracted Driving,7,41947.1007,83273.38722,Europe,2707.373479,2
India,2015,September,Tuesday,Night,Rural,Main Road,Rainy,59.15208637,4,74,41-60,Male,0.051828537,1,Good,2,2,Minor,10,1,25.64965553,6501.761573,Icy,Distracted Driving,6,773.2600364,57494.2904,North America,4250.506235,4
China,2016,November,Wednesday,Morning,Urban,Main Road,Snowy,227.3321959,1,34,26-40,Female,0.213346527,1,Moderate,1,0,Severe,4,1,55.36486213,1237.851184,Dry,Speeding,9,26983.17129,17770.35779,Australia,2124.791406,2
USA,2004,January,Sunday,Evening,Rural,Street,Windy,168.4003439,1,39,<18,Female,0.187762729,0,Moderate,2,2,Minor,12,0,15.99533991,2729.886448,Wet,Weather,6,45743.96336,7760.824133,Europe,879.3641293,2
Brazil,2019,April,Monday,Morning,Rural,Street,Rainy,87.53949409,1,54,61+,Female,0.120861692,0,Good,1,2,Moderate,16,0,47.65819749,8164.813139,Snow-covered,Drunk Driving,0,1381.890921,64847.21277,Europe,3684.093491,4
Germany,2023,March,Tuesday,Morning,Rural,Main Road,Foggy,261.0247012,4,71,61+,Male,0.082883678,0,Good,2,2,Minor,6,1,58.84921689,2496.512012,Icy,Distracted Driving,9,16326.68828,84774.67274,North America,346.0156159,1
Canada,2007,September,Monday,Night,Urban,Main Road,Foggy,334.5115003,4,85,18-25,Male,0.126038924,0,Good,1,0,Minor,1,4,47.32567534,4736.608431,Snow-covered,Drunk Driving,7,13493.07589,90620.04708,Europe,1473.124202,1
UK,2001,February,Monday,Night,Urban,Main Road,Windy,153.3449673,1,51,41-60,Male,0.005848364,0,Good,2,0,Severe,15,4,43.27315153,4716.21556,Snow-covered,Drunk Driving,4,41617.42674,69823.81908,Asia,4663.017756,3
China,2003,March,Wednesday,Night,Rural,Highway,Foggy,156.2923853,3,113,61+,Male,0.112628305,0,Good,2,0,Minor,19,3,12.89310005,530.8793333,Wet,Mechanical Failure,8,33640.2461,46909.9478,Europe,410.058654,2
Russia,2005,July,Tuesday,Afternoon,Rural,Highway,Snowy,105.1487031,4,94,41-60,Male,0.215652137,1,Moderate,2,1,Minor,14,2,35.33745247,7119.940559,Snow-covered,Distracted Driving,0,16972.51583,5827.224457,Asia,375.8937399,4
China,2011,October,Monday,Afternoon,Rural,Main Road,Snowy,298.0736345,2,85,18-25,Male,0.025323809,0,Poor,1,1,Severe,16,2,18.57906873,3074.3732,Icy,Weather,6,16496.38776,16095.69344,North America,1826.571812,4
UK,2006,May,Friday,Morning,Urban,Highway,Rainy,89.6344603,2,41,61+,Female,0.147003967,1,Good,2,2,Moderate,7,4,22.34996844,2679.538185,Snow-covered,Speeding,0,35026.59262,55252.42212,South America,678.1629748,2
Japan,2012,January,Thursday,Night,Urban,Street,Snowy,176.3264001,1,58,26-40,Male,0.23667264,1,Poor,0,1,Severe,15,4,50.12051978,6748.293851,Icy,Weather,1,3102.680789,26379.47452,Europe,1975.997795,3
Japan,2002,October,Thursday,Morning,Urban,Highway,Foggy,350.389637,1,96,41-60,Male,0.217301741,1,Good,1,0,Moderate,14,1,58.57411061,9710.031965,Dry,Drunk Driving,0,4529.597802,45307.38441,Europe,1697.765815,4
UK,2009,August,Thursday,Morning,Urban,Highway,Rainy,422.0972039,4,94,<18,Female,0.089396625,1,Poor,0,1,Severe,19,4,50.84378641,8364.610306,Wet,Speeding,0,1483.221683,89812.52871,Australia,2314.861537,3
Germany,2007,October,Friday,Evening,Urban,Main Road,Clear,464.0971812,2,38,26-40,Male,0.085122863,0,Poor,2,2,Severe,8,3,36.47124431,4779.397121,Snow-covered,Weather,5,48754.78233,66933.41683,Asia,673.1177194,2
Australia,2011,May,Sunday,Morning,Rural,Main Road,Snowy,57.11863889,2,54,41-60,Male,0.139083484,1,Poor,1,0,Severe,19,1,12.26748113,2927.880653,Snow-covered,Distracted Driving,6,17863.72644,6063.034458,Asia,3893.440675,4
Germany,2016,January,Saturday,Evening,Rural,Main Road,Windy,299.3776805,1,50,18-25,Male,0.106859516,0,Poor,0,1,Minor,7,3,19.90159229,6254.318551,Snow-covered,Speeding,8,39653.22862,65094.67978,Australia,4522.359528,3
China,2002,September,Thursday,Afternoon,Urban,Street,Snowy,347.3696549,4,35,26-40,Male,0.039189938,0,Poor,2,1,Moderate,4,0,11.61466991,8350.100113,Dry,Mechanical Failure,1,31919.2204,80454.10307,Australia,351.2268092,0
Japan,2002,March,Tuesday,Morning,Urban,Main Road,Clear,408.7304616,1,80,<18,Male,0.029891975,1,Poor,1,0,Minor,8,0,29.24499431,5892.64109,Dry,Distracted Driving,5,45832.70115,56952.83077,North America,72.12631967,0
China,2017,July,Wednesday,Afternoon,Rural,Main Road,Snowy,299.894163,4,111,41-60,Male,0.120231758,1,Poor,0,1,Severe,19,2,46.02748884,1940.159114,Dry,Drunk Driving,0,47644.49894,91290.10366,Europe,695.7621679,2
India,2022,November,Friday,Night,Rural,Main Road,Rainy,61.03395374,1,108,61+,Male,0.186818346,1,Good,2,1,Severe,8,0,12.68856234,5294.494205,Snow-covered,Weather,5,19088.55852,95217.91383,Europe,2557.621409,0
Brazil,2009,June,Wednesday,Morning,Urban,Main Road,Windy,148.326181,2,115,26-40,Female,0.168412065,0,Moderate,0,1,Moderate,13,3,57.43584337,2593.72753,Icy,Drunk Driving,0,31798.3682,49689.79021,Australia,3886.827063,2
Canada,2000,July,Tuesday,Evening,Rural,Highway,Rainy,301.9612259,3,49,18-25,Male,0.125567649,1,Good,0,2,Minor,19,3,5.509165272,8383.137654,Snow-covered,Drunk Driving,7,47506.45879,99978.04259,Europe,1284.777891,3
UK,2016,June,Friday,Evening,Rural,Street,Snowy,59.90223584,2,75,61+,Female,0.100442925,1,Good,2,0,Severe,15,0,8.777624833,2671.914574,Dry,Drunk Driving,8,39945.36117,9540.141329,South America,2626.454972,2
UK,2014,May,Monday,Morning,Urban,Street,Rainy,337.1376787,1,117,18-25,Male,0.044695736,0,Moderate,1,1,Minor,3,2,8.22387764,592.991588,Snow-covered,Drunk Driving,2,40159.72937,82507.82671,North America,3274.666473,2
Japan,2005,September,Monday,Evening,Urban,Main Road,Clear,294.6242643,1,81,61+,Female,0.030689023,0,Good,1,0,Minor,15,3,53.04443293,5116.19251,Icy,Drunk Driving,1,45566.19291,79681.34739,Europe,1512.882598,2
Australia,2024,June,Tuesday,Afternoon,Urban,Street,Clear,139.1182055,3,33,61+,Female,0.144088535,0,Good,1,2,Minor,3,0,24.348002,3373.714868,Icy,Mechanical Failure,4,26102.70646,73770.97931,Asia,837.6796329,0
UK,2004,September,Thursday,Evening,Urban,Main Road,Foggy,77.52784395,1,96,26-40,Male,0.004559489,1,Poor,0,0,Minor,8,1,18.06394535,1820.131033,Dry,Mechanical Failure,2,40284.87877,60235.80514,South America,368.9110074,2
Germany,2007,July,Sunday,Night,Rural,Main Road,Snowy,465.6891903,1,94,<18,Female,0.246639171,0,Good,2,2,Minor,5,3,22.92345508,9647.469813,Icy,Speeding,7,9011.189795,36566.83611,Europe,3408.733753,3
USA,2015,May,Friday,Afternoon,Urban,Main Road,Clear,485.8157106,1,115,18-25,Female,0.196165794,0,Poor,0,1,Minor,16,2,54.6461864,4064.465566,Dry,Distracted Driving,6,38984.45602,36737.95092,South America,3669.995931,2
Australia,2006,September,Wednesday,Morning,Urban,Main Road,Snowy,385.2420969,4,55,61+,Female,0.128270371,0,Good,2,1,Severe,3,3,40.23639086,6268.497277,Dry,Drunk Driving,0,20311.05422,35972.57385,South America,2307.335434,1
India,2010,January,Sunday,Afternoon,Rural,Main Road,Rainy,331.2497933,3,76,<18,Female,0.149746623,0,Poor,1,1,Minor,8,4,23.06445063,2378.591595,Wet,Speeding,5,44823.13753,93223.77751,North America,3679.553794,2
Russia,2007,June,Saturday,Afternoon,Rural,Main Road,Rainy,396.4363497,3,82,41-60,Male,0.005320279,0,Good,2,2,Minor,2,1,23.02852099,7283.069365,Dry,Weather,4,19182.25809,31923.52918,Australia,3405.305247,0
India,2013,July,Tuesday,Afternoon,Rural,Street,Rainy,331.233514,3,108,26-40,Female,0.219343273,1,Poor,2,0,Minor,3,0,24.59942601,8371.230292,Icy,Mechanical Failure,2,35761.76347,77388.51583,South America,3219.371906,0
Brazil,2007,November,Saturday,Morning,Rural,Main Road,Clear,361.3571103,2,58,26-40,Female,0.037441026,1,Poor,1,1,Moderate,4,3,59.98374597,7982.634303,Snow-covered,Speeding,8,15578.81752,1092.559456,Asia,1409.594173,3
UK,2001,November,Thursday,Afternoon,Rural,Highway,Snowy,279.4784511,1,116,26-40,Female,0.203628457,0,Poor,2,2,Minor,6,2,13.95838278,1914.244942,Snow-covered,Weather,1,42634.61793,53534.98796,North America,3432.975728,2
Germany,2009,March,Tuesday,Night,Urban,Street,Windy,437.1163959,1,81,26-40,Male,0.052806513,0,Good,1,0,Severe,19,1,19.44836479,1870.679386,Snow-covered,Speeding,0,48921.97982,28120.57436,Europe,2068.292975,2
Canada,2009,December,Tuesday,Night,Urban,Main Road,Windy,234.2531966,2,76,<18,Male,0.188047009,0,Good,1,2,Moderate,10,4,29.33755835,9726.071618,Icy,Distracted Driving,3,652.410206,52154.14608,North America,3442.312592,3
Germany,2013,November,Saturday,Afternoon,Rural,Main Road,Snowy,489.1195471,3,98,41-60,Female,0.220262386,1,Good,0,1,Moderate,1,1,53.02743722,8303.503367,Snow-covered,Speeding,1,34281.2333,28638.3863,North America,2384.425548,0
Japan,2012,August,Sunday,Afternoon,Urban,Street,Rainy,112.153086,2,78,<18,Female,0.092832283,0,Poor,0,1,Moderate,11,3,18.81597892,3922.84437,Dry,Speeding,9,31272.57572,70071.59445,Asia,1877.579328,2
Brazil,2016,December,Thursday,Afternoon,Urban,Main Road,Foggy,404.2286384,1,31,<18,Male,0.108357386,0,Moderate,0,2,Severe,10,3,46.65316045,4328.258022,Wet,Weather,9,17220.84447,55594.29478,Europe,2784.574171,1
Canada,2021,August,Sunday,Evening,Rural,Main Road,Foggy,463.8964083,3,72,18-25,Male,0.167794455,1,Poor,1,0,Moderate,17,3,53.55631207,8308.727347,Icy,Drunk Driving,6,47528.36926,54560.62494,South America,2386.339624,3
UK,2002,April,Tuesday,Morning,Urban,Main Road,Snowy,231.2507321,3,108,26-40,Female,0.093382395,1,Poor,1,0,Moderate,12,0,46.97981516,4102.035462,Dry,Mechanical Failure,3,9103.570335,42389.94612,South America,3695.395915,4
India,2015,July,Thursday,Afternoon,Urban,Street,Clear,333.755805,4,52,41-60,Female,0.131938301,1,Good,1,2,Minor,16,2,26.85311538,3439.796834,Dry,Mechanical Failure,1,47096.04186,13194.19386,Australia,3104.652101,2
UK,2005,July,Sunday,Night,Urban,Highway,Snowy,101.191916,2,106,<18,Female,0.045001648,1,Good,0,1,Severe,13,0,29.1249348,5597.916268,Dry,Speeding,7,27446.33291,47080.47721,Europe,772.674516,4
Russia,2011,March,Tuesday,Evening,Rural,Highway,Foggy,416.1332833,3,83,26-40,Female,0.178763313,1,Moderate,2,2,Severe,0,0,17.76464863,9552.399071,Wet,Distracted Driving,2,17258.2659,35801.11515,Europe,3742.944553,0
China,2015,July,Saturday,Evening,Urban,Main Road,Clear,251.8281588,2,56,41-60,Female,0.157642313,1,Poor,1,2,Severe,9,1,35.47128397,7642.865498,Snow-covered,Mechanical Failure,6,49682.69552,62757.29807,Europe,2831.971276,0
Germany,2008,June,Wednesday,Night,Rural,Main Road,Windy,135.6504337,3,69,41-60,Female,0.040260712,0,Good,0,2,Minor,19,0,11.80706033,446.644318,Icy,Mechanical Failure,7,9004.027006,13999.52398,North America,2673.906901,4
Canada,2023,August,Wednesday,Evening,Urban,Street,Snowy,182.2159103,1,49,18-25,Female,0.212842308,1,Good,0,2,Severe,9,2,53.39315689,9972.946915,Wet,Mechanical Failure,7,39064.2852,51037.6809,Europe,3946.993877,3
China,2002,June,Saturday,Night,Urban,Main Road,Windy,412.3223052,3,111,26-40,Male,0.093823438,0,Poor,2,1,Severe,0,3,22.60858401,6730.73663,Dry,Speeding,3,33697.20657,55187.57855,North America,2546.17062,0
UK,2014,January,Wednesday,Afternoon,Rural,Highway,Clear,268.3117511,2,56,<18,Male,0.159050583,1,Poor,1,1,Minor,12,3,19.47281067,886.8546345,Dry,Drunk Driving,2,22040.6211,8633.059975,Australia,1780.504766,1
India,2013,January,Tuesday,Morning,Urban,Street,Rainy,54.53323905,4,76,18-25,Male,0.242347956,0,Moderate,0,1,Severe,11,1,32.58612186,4255.981898,Dry,Mechanical Failure,4,48665.01624,74666.14307,North America,4714.921471,2
Australia,2014,March,Sunday,Afternoon,Urban,Main Road,Rainy,464.83003,2,112,18-25,Female,0.043312543,1,Moderate,1,2,Moderate,9,4,15.65765793,8275.440452,Snow-covered,Weather,1,39174.5157,9614.34569,North America,1749.292651,3
India,2024,August,Thursday,Night,Rural,Street,Rainy,197.3159982,1,113,18-25,Male,0.15497175,0,Poor,2,1,Moderate,5,2,17.76934099,4062.163804,Wet,Speeding,5,49982.27354,62104.05776,North America,3774.05529,2
USA,2023,January,Monday,Morning,Urban,Highway,Clear,83.8655527,2,119,41-60,Female,0.004782639,0,Moderate,1,0,Minor,0,3,44.95427007,5693.15981,Icy,Mechanical Failure,6,18690.63306,30708.30233,South America,4715.152423,1
UK,2019,September,Thursday,Evening,Urban,Highway,Windy,234.1024155,1,86,61+,Male,0.023577524,1,Poor,1,1,Minor,10,4,24.42185239,3229.042922,Wet,Drunk Driving,5,23219.75279,35762.86022,Australia,4046.535789,1
Canada,2000,August,Monday,Evening,Rural,Street,Windy,90.52567921,4,103,61+,Female,0.22248503,0,Poor,1,2,Moderate,16,1,35.63192554,7365.89475,Icy,Distracted Driving,3,6815.488045,45357.8138,Asia,4827.720996,4
Japan,2011,October,Saturday,Afternoon,Urban,Main Road,Snowy,396.7373714,3,99,26-40,Female,0.038234453,1,Moderate,0,1,Minor,3,4,20.95209415,5705.4044,Icy,Weather,6,14739.76646,65778.11554,Europe,2094.861275,1
Brazil,2012,June,Saturday,Evening,Rural,Highway,Clear,271.2335817,4,50,18-25,Male,0.192514899,1,Good,0,0,Severe,5,3,45.82900026,8880.666711,Snow-covered,Speeding,2,29935.11423,97579.08853,Europe,1852.468133,3
Russia,2020,December,Sunday,Night,Rural,Main Road,Foggy,244.5597952,1,30,61+,Female,0.024056571,1,Poor,2,2,Moderate,9,2,48.77941118,127.3786288,Wet,Distracted Driving,1,49972.6639,47230.2212,Europe,4432.265002,2
Germany,2014,February,Saturday,Night,Rural,Highway,Rainy,462.2929243,4,60,41-60,Female,0.218471686,0,Poor,2,2,Moderate,6,0,5.818941225,8781.759526,Dry,Speeding,3,2882.008808,76335.2106,Australia,4204.969024,0
China,2015,January,Saturday,Evening,Urban,Street,Clear,483.8652046,1,78,<18,Female,0.139959191,1,Poor,0,0,Severe,17,0,51.01330407,3611.641438,Icy,Weather,8,14808.35362,77452.29296,Europe,4906.374108,4
Brazil,2007,January,Thursday,Afternoon,Rural,Main Road,Foggy,377.1405967,1,111,26-40,Female,0.112777341,0,Poor,1,2,Minor,4,3,8.910486911,6937.209313,Dry,Mechanical Failure,1,49460.00788,54525.0182,Europe,145.6672875,3
Russia,2001,August,Tuesday,Afternoon,Rural,Main Road,Clear,392.0486244,4,39,<18,Female,0.091626036,1,Moderate,2,0,Minor,1,4,34.15893466,8344.105209,Icy,Mechanical Failure,1,13088.78585,64111.67056,Asia,2174.373369,3
China,2009,November,Wednesday,Morning,Urban,Street,Rainy,381.0150365,1,34,18-25,Male,0.011545409,1,Good,0,1,Severe,11,4,44.47597346,2323.149193,Wet,Speeding,6,11954.70116,32034.24456,Australia,4888.632482,1
Canada,2019,May,Tuesday,Evening,Urban,Main Road,Windy,357.3487517,1,86,<18,Female,0.059848579,0,Moderate,1,1,Severe,15,1,40.27204787,2544.540245,Icy,Speeding,5,42671.52255,59431.00023,Australia,547.2952955,2
Australia,2022,February,Wednesday,Night,Urban,Street,Clear,236.2280132,3,43,61+,Male,0.164951583,0,Good,1,0,Minor,3,1,14.93887174,7739.574967,Dry,Weather,4,39433.40346,87669.11672,Europe,2498.28287,0
Brazil,2022,February,Saturday,Morning,Urban,Main Road,Foggy,119.5143985,2,60,26-40,Male,0.057005312,1,Poor,1,2,Minor,12,1,29.78377525,4309.154453,Wet,Drunk Driving,9,20886.04272,73929.72888,Asia,2074.37486,4
India,2024,December,Wednesday,Night,Rural,Street,Windy,230.9359119,1,103,26-40,Female,0.21120833,0,Good,1,0,Minor,16,4,51.6036899,3382.352253,Wet,Distracted Driving,9,19112.59539,18929.85432,Asia,1967.234972,1
