Country,Year,Disease Name,Disease Category,Prevalence Rate (%),Incidence Rate (%),Mortality Rate (%),Age Group,Gender,Population Affected,Healthcare Access (%),Doctors per 1000,Hospital Beds per 1000,Treatment Type,Average Treatment Cost (USD),Availability of Vaccines/Treatment,Recovery Rate (%),DALYs,Improvement in 5 Years (%),Per Capita Income (USD),Education Index,Urbanization Rate (%)
Russia,2009,Diabetes,Chronic,15.96,13.59,5.42,19-35,Male,163539,72.21,2.37,1.55,Medication,15809,No,77.75,740,0.32,54139,0.45,37.78
Argentina,2015,Rabies,Bacterial,18.88,9.21,7.36,0-18,Male,378412,53.68,2.79,5.7,Surgery,9576,Yes,76.82,4152,2.02,98550,0.57,63.28
Indonesia,2015,Asthma,Viral,9.47,5.58,8.09,0-18,Male,227092,94.91,1.53,5.8,Vaccination,6535,No,52.75,1197,8.31,19640,0.46,71.93
Russia,2013,Leprosy,Neurological,0.74,3.5,3.04,19-35,Male,794128,77.64,1.47,2.02,Surgery,18042,Yes,79.81,4719,4.83,1550,0.52,26.26
Italy,2001,Parkinson's Disease,Cardiovascular,6.62,12.45,7.42,0-18,Female,115984,61.21,4.21,8.43,Medication,22703,No,90.11,1646,7.49,3259,0.7,43.59
Saudi Arabia,2008,Influenza,Infectious,7.99,3.44,5.49,19-35,Male,799475,62.07,1.98,9.57,Surgery,45391,Yes,56.52,1331,9.57,55932,0.84,27.92
Italy,2017,Tuberculosis,Infectious,9.89,3.42,7.73,36-60,Male,293502,96.52,0.94,1.54,Medication,6115,Yes,92.6,2825,8.03,96413,0.53,72.16
France,2014,Dengue,Respiratory,13.22,14.97,4.52,19-35,Other,828261,58.48,3.13,4.11,Therapy,26687,Yes,80.5,2924,6.31,10443,0.43,79.6
Saudi Arabia,2019,Alzheimer's Disease,Parasitic,0.27,2.91,3.77,61+,Male,688568,84.65,0.91,7.48,Therapy,32984,Yes,70.43,2034,9.92,44508,0.67,50.16
South Africa,2000,Tuberculosis,Metabolic,17.5,13.66,8.53,36-60,Other,119985,58.18,2.83,7.59,Medication,10854,No,67.22,4602,6.34,93303,0.68,67.84
Australia,2009,Asthma,Neurological,15.91,3.11,6.58,0-18,Male,272858,56.47,1.2,4.42,Surgery,1899,No,96.03,225,4.56,2690,0.43,74.75
Argentina,2020,Ebola,Metabolic,16.82,9.58,9.14,0-18,Other,310995,93.46,4.58,0.81,Vaccination,19766,No,83,1333,7.14,12318,0.4,45.41
Indonesia,2014,Alzheimer's Disease,Genetic,12.53,14.94,6.29,61+,Other,557709,88.31,3.28,7.09,Therapy,32587,Yes,68.95,3680,9.71,16254,0.5,75.02
Indonesia,2006,Leprosy,Bacterial,9.13,2.98,6.11,61+,Female,948845,62.4,1.1,3.24,Medication,10631,Yes,94.17,2481,2.65,12293,0.55,20.13
UK,2015,HIV/AIDS,Respiratory,17.63,14.78,4.77,19-35,Other,86102,83.12,2.09,0.67,Therapy,10998,Yes,52.42,1058,5.02,39273,0.46,75.72
Indonesia,2005,Polio,Metabolic,3.69,12.78,2.89,61+,Other,733218,72.84,1.91,9.92,Surgery,18234,Yes,67.22,2283,1.27,9776,0.41,29.54
South Africa,2012,Hepatitis,Parasitic,12.58,0.88,7.62,0-18,Female,186286,78.42,1.76,9.4,Therapy,45248,Yes,61.19,3920,2.38,69192,0.46,26.64
South Africa,2002,Hypertension,Metabolic,19.73,12.77,9.54,61+,Female,231461,78.79,1.2,5.37,Vaccination,42862,Yes,86.34,1523,7.74,21297,0.75,50.07
Saudi Arabia,2015,Alzheimer's Disease,Bacterial,2.91,7.31,4.79,0-18,Other,415204,76.51,2.56,7.57,Vaccination,6669,Yes,95.46,3409,8.68,9561,0.67,40.89
South Africa,2011,Zika,Autoimmune,1.48,10.99,5.19,0-18,Female,982785,55.32,2.61,5.93,Vaccination,42520,No,98.41,466,7.56,69179,0.79,83.83
Saudi Arabia,2007,Influenza,Bacterial,18.1,13.95,7.66,19-35,Female,982537,96.36,3.21,1.45,Vaccination,41459,No,51.74,1032,1,92017,0.69,41.5
Mexico,2005,Asthma,Cardiovascular,14.76,13.16,8.21,61+,Male,521091,54.06,3.89,7.52,Therapy,32403,No,60.89,699,9.69,57028,0.42,38.38
Mexico,2006,Rabies,Autoimmune,0.96,10.73,6.24,61+,Other,916103,89.08,2.86,1.51,Medication,7227,No,58.49,3365,7.58,46989,0.82,58.74
France,2019,Asthma,Cardiovascular,8.65,0.18,0.72,0-18,Female,456318,72.89,2.79,6.45,Surgery,36073,Yes,78.38,4543,1.67,81701,0.51,76.01
South Korea,2003,Tuberculosis,Infectious,11.12,11.56,0.29,19-35,Other,109834,71.23,4,4.26,Therapy,17504,Yes,78.64,2790,3.25,74024,0.62,41.55
USA,2002,HIV/AIDS,Chronic,15.72,11.65,7.22,61+,Male,893688,98.45,4.82,7.67,Vaccination,18873,No,88.26,2763,4.04,35807,0.64,46.13
Indonesia,2020,Tuberculosis,Cardiovascular,18.12,11.46,4.74,36-60,Female,323878,74.46,2.35,0.5,Medication,6878,Yes,51.37,4060,6.71,92972,0.63,72.84
Indonesia,2020,Cholera,Cardiovascular,19.64,10.7,8.81,19-35,Female,22115,83.65,2.28,3.67,Surgery,33993,No,58.39,857,8.87,85290,0.9,61.87
Canada,2000,Hepatitis,Cardiovascular,2.13,3.74,3.12,36-60,Other,35004,77.91,1.74,8.67,Vaccination,9435,No,60.47,2073,4.38,14671,0.7,36.35
South Africa,2021,Asthma,Autoimmune,14.69,13.05,2.65,0-18,Female,797154,79.45,4.64,1.47,Therapy,22462,Yes,68.14,598,0.14,86793,0.43,45.95
South Africa,2023,Influenza,Infectious,5.42,6.57,2.89,61+,Male,633746,83.25,1.35,9.76,Vaccination,39863,No,54.26,1189,9.02,95734,0.45,25.71
Indonesia,2001,Tuberculosis,Viral,14.5,7.38,3.58,19-35,Female,968307,68.05,3.97,5.82,Medication,11591,Yes,50.2,3578,6.78,2766,0.88,88.94
China,2018,Malaria,Neurological,4.97,8.17,9.36,36-60,Male,517279,56.17,4.06,5.61,Medication,48206,No,81.03,239,3.28,73860,0.74,21.47
Italy,2005,Tuberculosis,Bacterial,14.51,1.44,5.5,36-60,Male,319524,96.45,1.99,5.86,Surgery,295,Yes,70.08,3026,4.34,87771,0.55,56.55
Turkey,2018,Tuberculosis,Autoimmune,0.28,6.6,5.21,0-18,Male,219377,59.64,2.8,7.76,Therapy,37260,Yes,68.06,2247,1.52,81394,0.83,43.93
South Korea,2003,Ebola,Genetic,12,14.62,6.99,0-18,Female,127713,60.27,4.02,3.32,Surgery,10807,Yes,86.24,239,1.8,52270,0.7,89.9
Mexico,2021,Dengue,Neurological,10.83,2.3,4.92,0-18,Female,398645,97.31,0.56,4.55,Surgery,15089,No,85.61,4288,3.5,29867,0.71,65.29
Argentina,2013,Hepatitis,Cardiovascular,7.55,9.14,1.79,0-18,Male,388505,89.01,4.92,1.69,Surgery,39723,No,52.79,2667,9.19,43887,0.49,47.7
USA,2015,Dengue,Respiratory,18.06,0.49,9.86,36-60,Female,245592,83.51,3.5,2.97,Surgery,12570,Yes,97.9,2161,4.72,3793,0.78,20.5
South Korea,2010,Diabetes,Chronic,2.22,6.89,7.57,61+,Female,271700,73.55,4.78,2.25,Medication,34856,Yes,67.88,3986,2.69,66136,0.89,59.14
Canada,2020,Alzheimer's Disease,Genetic,8.39,1.63,9.53,61+,Male,554601,88.56,4.98,5.42,Surgery,6465,Yes,74.34,1249,3.25,70320,0.75,36.72
Australia,2020,Alzheimer's Disease,Respiratory,4.94,7.13,6.1,36-60,Female,669767,64.34,2.02,1.11,Surgery,47369,Yes,64.34,4935,3.37,28680,0.85,32.21
Russia,2000,Alzheimer's Disease,Parasitic,12.06,11.57,0.76,61+,Male,380930,97.92,2.6,0.79,Therapy,13475,No,86.96,4430,2.18,72433,0.62,84.84
China,2018,Influenza,Genetic,3.1,9.08,3.06,36-60,Other,811973,65.68,3.27,2.61,Vaccination,36667,Yes,55.07,1237,7.82,34061,0.87,73.55
India,2018,Cancer,Viral,13.28,2.38,9.35,61+,Other,633549,55.72,1.65,9.94,Surgery,18594,Yes,82.05,1932,2.25,35118,0.76,65.08
France,2011,Cholera,Neurological,8.49,2.3,7.28,36-60,Female,686131,80.94,0.57,1.54,Medication,45255,No,81.63,3091,5.7,54176,0.44,84.54
France,2010,Alzheimer's Disease,Bacterial,18.96,3.76,5.19,61+,Male,171714,70.91,1.83,3.76,Surgery,13884,Yes,92.06,2839,0.59,25264,0.68,58.84
Nigeria,2011,Cancer,Neurological,7.5,0.21,2.74,61+,Other,243683,83.32,1.97,4.59,Therapy,41405,Yes,76.82,2532,3.63,81249,0.89,40.43
South Korea,2002,Cancer,Infectious,0.76,13.78,2.26,36-60,Other,395877,95.72,2.46,5.31,Medication,25770,Yes,80.7,2483,0.97,55887,0.74,22.35
France,2020,Measles,Parasitic,11.73,14.52,7.85,19-35,Female,50083,65.67,2.92,2.58,Vaccination,9944,No,83.46,3309,9.54,83774,0.58,51.32
Russia,2007,Zika,Neurological,0.51,8.89,3.51,0-18,Male,742537,67.94,2.6,4.75,Medication,7067,No,53.69,1946,9.4,10998,0.41,54.94
Indonesia,2013,Cholera,Viral,5.68,10.29,5.04,0-18,Male,737992,57.93,4.48,1.44,Surgery,8845,No,78.47,4660,5.12,86337,0.76,26.06
China,2002,HIV/AIDS,Autoimmune,19.1,9,6.64,0-18,Other,482921,53.74,3.02,8.55,Surgery,9711,Yes,66.99,446,1.83,27717,0.79,70.59
Mexico,2015,Asthma,Chronic,1.6,3.62,5.46,61+,Male,667242,82.3,4.75,4.89,Surgery,9784,Yes,50.25,2723,3.97,55141,0.47,48.38
Australia,2005,Zika,Metabolic,18.6,1.17,4.82,0-18,Male,718159,93.42,3.87,7.06,Vaccination,28360,Yes,93.79,1019,4.9,2732,0.51,89.98
UK,2019,Cancer,Neurological,0.96,4.83,7.28,36-60,Female,379893,92.21,3.76,2.35,Therapy,40459,Yes,53.52,3576,4.09,16428,0.86,20.66
Indonesia,2018,Malaria,Metabolic,0.36,9.07,3.12,0-18,Female,82751,83.02,1.19,2.91,Surgery,28162,No,69.68,4176,3.71,57398,0.67,24.02
Turkey,2012,Rabies,Infectious,3.56,9.54,9.06,19-35,Other,765190,58.18,2.14,6.23,Medication,9813,No,88.19,4610,2.15,94018,0.64,35.48
France,2022,Diabetes,Autoimmune,10.79,8.01,8.82,36-60,Male,6874,50.08,1.96,6.72,Medication,3839,Yes,77.77,2456,2.46,40345,0.6,51.54
Indonesia,2012,Tuberculosis,Genetic,1.79,9.56,4.91,61+,Male,764451,73,1.23,1.66,Vaccination,7865,No,71.15,534,6.44,67972,0.85,77.68
USA,2007,Ebola,Infectious,2.33,14.94,5.19,19-35,Female,125825,59.84,1.05,1.17,Therapy,36626,No,94.58,2669,7.58,17551,0.86,84.84
Indonesia,2012,Tuberculosis,Neurological,15.62,7.41,0.42,0-18,Female,745477,81.5,2.58,7.4,Therapy,20391,No,70.46,1839,4.55,90416,0.68,42.91
Brazil,2013,Cancer,Autoimmune,0.28,10.58,6.26,36-60,Other,217188,72.98,2.1,9.77,Vaccination,33491,No,69.37,2306,8.33,73493,0.4,82.43
China,2020,Leprosy,Chronic,12.6,9.73,9.47,61+,Male,398301,88.46,3.88,3.24,Surgery,41628,Yes,77.08,3679,1.85,19916,0.51,89
Japan,2003,Cholera,Respiratory,4.59,2.5,9.57,19-35,Male,154897,80.42,4.27,2.62,Surgery,38674,No,96.04,743,6.84,12899,0.75,64.43
USA,2022,Dengue,Respiratory,10.79,9.8,7.56,36-60,Female,708265,51.66,2.62,5.34,Surgery,47380,Yes,69.74,4889,8.77,60067,0.79,64.48
China,2008,Measles,Genetic,9.62,2.12,8.41,19-35,Other,660007,76.19,3.15,6.97,Vaccination,35043,Yes,82.72,602,6.37,1230,0.5,34.9
Indonesia,2007,COVID-19,Metabolic,14.89,2.91,7.04,36-60,Male,243547,81.55,2.48,1.03,Therapy,7680,No,61.73,2901,1.51,76996,0.43,59.55
Nigeria,2022,Malaria,Genetic,18.18,12.54,5.66,0-18,Other,278038,67.54,2.55,3.26,Therapy,29234,No,72.27,4096,9.78,31289,0.61,41.02
Argentina,2020,Measles,Genetic,7.68,8.09,2.28,61+,Other,368846,87.63,3.43,6,Vaccination,29370,Yes,77.34,3975,4.02,83426,0.67,83.06
France,2019,Rabies,Infectious,14.04,3.02,1.11,19-35,Male,871992,99.09,2.52,6.67,Medication,24726,Yes,81.28,4597,2.26,86231,0.51,89.54
USA,2012,Alzheimer's Disease,Neurological,5.36,6.35,7.13,19-35,Male,507350,55.18,2.16,8.46,Medication,10395,No,97.46,272,6.74,7924,0.4,62.59
Australia,2023,HIV/AIDS,Viral,6.65,14.47,3.53,19-35,Other,633691,54.68,1.16,3.49,Vaccination,37953,Yes,61.07,760,1.14,46034,0.59,63.34
South Africa,2003,Influenza,Infectious,15.23,9.62,1.29,61+,Other,531254,55.39,1.38,7.99,Therapy,24359,Yes,61.76,3207,3.34,68920,0.7,88.37
Canada,2016,Rabies,Chronic,15.81,2.12,1.73,61+,Other,472158,65.14,3.3,5.26,Surgery,24366,Yes,78.04,2120,5.63,32499,0.58,34.05
Canada,2004,Alzheimer's Disease,Metabolic,11.65,0.58,7.86,0-18,Male,760334,75.35,1.81,9.42,Surgery,447,No,68.19,2563,7.9,79772,0.44,87.22
Japan,2001,Alzheimer's Disease,Viral,3.93,13.4,4.61,61+,Male,901287,75.84,2.23,9.73,Surgery,47889,Yes,67.68,2352,3.64,73029,0.82,35.66
Nigeria,2000,Parkinson's Disease,Bacterial,9.18,9.36,4.46,36-60,Other,880976,68.75,0.79,6.42,Medication,9282,No,89.92,4093,0,68220,0.44,80.55
Brazil,2009,Cancer,Bacterial,19.39,13.47,2.1,0-18,Female,199586,55.45,1.37,9.52,Vaccination,1615,No,89.06,3646,2.03,74541,0.71,53.18
UK,2012,Cholera,Metabolic,14.09,8.44,2.36,19-35,Male,771976,87.47,3.31,9.35,Surgery,37928,Yes,74.68,1746,4.49,67209,0.79,35
UK,2008,Asthma,Chronic,11.98,7.48,5.18,19-35,Female,285888,58.4,4.16,5.39,Vaccination,22738,No,57.36,2958,3.92,5085,0.44,22.1
USA,2010,Measles,Neurological,16.06,10.23,2.69,19-35,Female,153609,83.34,0.74,5.36,Vaccination,47873,Yes,90.81,4342,5.75,92444,0.78,51.26
Japan,2012,HIV/AIDS,Genetic,3.94,4.08,9.46,0-18,Female,915846,95.55,2.41,4.13,Vaccination,29871,Yes,50.17,4466,7.26,24883,0.85,84.71
UK,2014,HIV/AIDS,Chronic,11.87,8.51,9.14,19-35,Other,186623,91.39,2.03,6.68,Vaccination,46785,No,92.48,3208,8.43,37761,0.83,45.62
China,2010,Cancer,Bacterial,16.11,13.33,7.34,36-60,Female,698097,67.5,3.08,6.37,Therapy,34632,Yes,52.85,3234,9.22,58978,0.86,72.46
China,2023,Hepatitis,Respiratory,3.78,2.87,5.25,19-35,Female,895995,90.48,2.65,1.26,Vaccination,49559,No,78.75,876,6.05,35871,0.46,78.06
Saudi Arabia,2011,Asthma,Cardiovascular,17.13,14.92,2.53,61+,Female,537748,87.1,3.42,2.86,Therapy,27038,No,55.94,968,0.61,34048,0.49,85.68
Nigeria,2005,Cancer,Respiratory,12.58,14.1,2.99,36-60,Male,368552,61.15,3.15,9.66,Vaccination,3172,No,59.2,4016,1.66,46463,0.81,64.41
South Korea,2001,COVID-19,Respiratory,16.72,11.12,8.89,0-18,Male,24866,69.76,0.81,3.18,Therapy,40722,Yes,51.14,1441,9.77,32312,0.57,37.94
Japan,2019,Tuberculosis,Parasitic,4.35,9.62,1.2,19-35,Other,331161,71.76,4.86,1.05,Therapy,31724,Yes,81.42,4850,9.5,64485,0.64,33.63
Australia,2016,Influenza,Genetic,19.94,13.85,1.35,0-18,Other,594966,74.58,2.15,6.3,Surgery,31329,No,60.16,2663,6.31,27146,0.65,59.72
UK,2006,Diabetes,Genetic,15.33,11.85,2.98,61+,Male,385359,59.57,2.56,1.6,Therapy,8247,Yes,90.33,1689,4.63,20941,0.75,39.24
Mexico,2003,Parkinson's Disease,Respiratory,12.62,4.34,4.95,0-18,Male,920571,50.11,2.2,7.33,Therapy,39321,No,63.91,1639,7.07,12548,0.79,82.63
Turkey,2007,Polio,Neurological,7.58,5.45,9.45,19-35,Male,220135,66.07,3.76,4.42,Medication,19525,No,51.19,3839,2.83,44416,0.56,80.69
Canada,2001,Ebola,Parasitic,0.47,8.48,9.8,36-60,Other,202759,82.1,3.48,1.08,Vaccination,33636,Yes,57.36,464,6.5,23849,0.45,52.16
Argentina,2007,Dengue,Chronic,14.87,8.89,5.12,19-35,Male,318404,97.92,3.12,2.58,Vaccination,151,No,67.07,2779,5.04,49265,0.72,41.57
Russia,2020,Alzheimer's Disease,Cardiovascular,8.41,3.88,1.6,61+,Female,257307,92.65,4.48,3.66,Therapy,37465,No,57.89,1795,7.41,73799,0.64,71.45
Japan,2015,Cancer,Genetic,8.72,2.51,1.22,0-18,Male,495611,71.66,1.59,9.43,Vaccination,11438,Yes,84.01,3936,6.31,19302,0.69,41.91
Brazil,2004,Malaria,Infectious,14.11,2.61,7.25,61+,Male,142190,59.07,4.68,2.32,Vaccination,36537,No,68.53,1887,5.91,2070,0.44,63.25
South Africa,2014,Zika,Infectious,11.52,1.68,0.49,0-18,Male,488645,79.29,0.54,9.36,Medication,26389,Yes,81.11,3407,1.96,45669,0.56,38.23
Saudi Arabia,2015,HIV/AIDS,Bacterial,1.68,4.17,7.21,19-35,Male,567704,83.6,4.43,8.47,Therapy,14040,No,93.27,1269,8.06,16638,0.41,86.23
Brazil,2019,Malaria,Bacterial,18.55,1.11,7.22,0-18,Male,488059,53.74,4.91,6.37,Vaccination,34054,No,71.58,3909,5.68,63327,0.57,73.33
Brazil,2024,Polio,Respiratory,5.96,8.45,0.92,36-60,Other,644185,96.22,3.63,2.15,Vaccination,25462,No,85.86,2285,7.56,3401,0.87,21.33
China,2007,Cholera,Cardiovascular,0.59,9.55,5.25,19-35,Male,89926,74.92,3.62,8.23,Surgery,31685,No,81.77,4714,3.55,57657,0.43,68.16
South Africa,2013,Cancer,Respiratory,0.64,12.15,0.94,36-60,Other,668388,53.82,2.81,1.2,Vaccination,38526,Yes,86.56,1823,1.65,90247,0.81,81.36
USA,2023,Rabies,Genetic,14.48,13.91,5.51,0-18,Female,716362,95.91,2.63,7.41,Therapy,25266,No,84.61,1408,3.18,65570,0.8,54.99
South Africa,2009,Leprosy,Parasitic,8.57,12.32,6.73,19-35,Female,517622,72.79,3.27,2.34,Vaccination,11029,No,80.64,3898,2.3,57944,0.48,53.25
India,2002,Cholera,Infectious,4.41,5.12,3.62,19-35,Male,858972,91.24,3.85,6.58,Therapy,37423,No,68.88,3128,4.01,61869,0.49,87.99
India,2008,Malaria,Respiratory,13.76,5.51,5.81,0-18,Other,677479,77.16,3.05,0.6,Therapy,35451,Yes,70.38,1932,9.05,62994,0.69,79.72
France,2008,Cholera,Viral,11.34,14.41,9.25,61+,Male,526051,91.61,2.75,2.02,Surgery,48664,Yes,57.77,4338,3.21,38674,0.6,87.26
Nigeria,2008,Ebola,Respiratory,4.03,4.24,1.24,61+,Male,47466,92.14,3.02,7.55,Therapy,17241,No,78.89,1639,5.33,5143,0.71,67.16
Nigeria,2011,Measles,Viral,16.75,11.91,7.18,36-60,Male,661498,77.28,2.55,6.45,Therapy,27884,Yes,53.91,1822,1.13,19207,0.51,86.08
South Korea,2005,Parkinson's Disease,Parasitic,7.91,5.83,9.68,0-18,Female,890104,81.17,3.21,1.44,Medication,3838,Yes,50.06,3417,0.65,64921,0.67,27.6
Argentina,2019,Parkinson's Disease,Cardiovascular,13.52,3.68,8.67,19-35,Female,615469,87.39,4.36,3.02,Surgery,48389,Yes,87.28,2069,3.63,14705,0.49,62.81
Canada,2024,COVID-19,Viral,19.42,13.16,8.42,0-18,Female,501527,66.12,1.9,7.69,Medication,28098,Yes,70.69,220,8.13,1932,0.57,30.52
Russia,2024,Measles,Viral,18.22,11.18,0.23,0-18,Female,808635,50.34,4.77,8.92,Surgery,16163,Yes,98.13,2732,1.85,34735,0.43,45.69
Germany,2014,Polio,Neurological,8.26,14.99,5.91,19-35,Female,500094,96.46,4.62,5.36,Vaccination,28431,No,68.14,1752,6.14,29023,0.74,43.58
Saudi Arabia,2022,Hepatitis,Infectious,17.1,8.31,0.74,36-60,Male,426008,77.93,2.8,4.26,Surgery,24616,No,79.67,1247,4.64,16097,0.57,21.71
Mexico,2000,Malaria,Chronic,13.08,3.25,6.28,61+,Other,9508,96.11,4.53,2.18,Medication,19344,Yes,79.87,2009,3.44,58869,0.48,58.83
Russia,2018,Leprosy,Neurological,0.89,8.81,6.94,0-18,Other,886405,84.7,4.18,6.32,Surgery,20232,No,81.5,3283,3.11,48216,0.75,68.13
Italy,2005,COVID-19,Viral,14.45,13.99,7.44,0-18,Female,540913,77.25,2.48,8.63,Surgery,39489,Yes,97.41,635,9.51,95744,0.83,25.04
India,2017,Asthma,Neurological,1.05,7.28,0.26,36-60,Male,625556,90.28,1.02,9.25,Therapy,12699,No,90.79,4648,8.21,51356,0.43,63.23
Argentina,2024,Hypertension,Viral,1.51,11.56,1.36,19-35,Female,359112,68.54,0.62,8.97,Surgery,21746,No,68.03,2911,7.4,88675,0.59,43.99
Russia,2000,Dengue,Viral,17.88,10.48,9.76,36-60,Female,234158,63.28,2.14,9.04,Vaccination,8289,Yes,70.05,1304,1.7,76181,0.69,62.6
Indonesia,2000,Dengue,Metabolic,12.88,2.65,4.8,36-60,Other,664652,69.9,4.74,1.89,Therapy,20130,No,69.13,3388,1.95,8795,0.81,25.86
South Africa,2019,Rabies,Bacterial,15.8,6.75,2.4,61+,Male,881540,83.79,2.02,5.89,Surgery,26701,Yes,86.02,4960,7.24,56326,0.78,80.69
South Korea,2020,Asthma,Autoimmune,18.14,12.11,8.85,36-60,Female,553209,92.24,3.23,1.36,Medication,14064,No,77.86,3892,0.63,12115,0.42,67.2
South Africa,2016,Measles,Viral,2.11,0.82,2.58,0-18,Other,761098,65.71,0.59,1.83,Vaccination,3129,Yes,91.4,980,5.13,35692,0.77,25.14
Argentina,2013,Hepatitis,Neurological,3.58,7.08,6,36-60,Other,720710,85.8,2.89,6.96,Surgery,39110,No,88.22,3683,9.59,44214,0.86,36.62
Russia,2020,Dengue,Parasitic,15.15,8.47,8.82,19-35,Other,719350,69.64,4.1,5.47,Vaccination,14311,Yes,88.93,563,6.58,45190,0.43,48.94
India,2004,Cholera,Viral,15.29,6.98,7.76,19-35,Other,995747,70.18,1.59,8,Medication,45220,No,98.86,627,5.69,41339,0.58,31.13
Russia,2018,Influenza,Infectious,12.09,7.17,4.63,61+,Male,638613,92.55,4.62,1.67,Medication,15789,Yes,61.62,4002,7.58,54118,0.52,86.48
China,2024,Ebola,Autoimmune,11.28,5.58,2.46,0-18,Female,211160,77.98,3.32,5.72,Surgery,10666,No,70.25,3631,3.84,48814,0.89,76.51
China,2016,Cancer,Bacterial,9.29,3.24,0.2,19-35,Other,923414,92.63,2.12,1.47,Surgery,650,No,80.4,599,2.88,92581,0.43,41.43
France,2013,Ebola,Bacterial,18.68,5.86,6.92,19-35,Other,338944,92.22,4.44,6.72,Therapy,46430,Yes,82.24,282,5.15,98890,0.66,42.5
China,2014,Diabetes,Autoimmune,19.24,9.37,9.4,61+,Other,881469,84.23,4.49,6.98,Medication,17787,No,62.21,2181,3.72,73507,0.53,59.57
Canada,2008,Dengue,Respiratory,17.69,0.88,7.86,61+,Male,903061,60.23,3.77,3.82,Surgery,46049,No,78.61,4542,6.21,88176,0.55,81.79
Argentina,2023,Influenza,Parasitic,15.1,1.8,5.51,19-35,Male,592080,52.41,2.02,2.06,Surgery,5380,Yes,62.23,2277,7.36,55401,0.42,68.81
Argentina,2019,Malaria,Autoimmune,4.87,7.78,9.04,61+,Male,733483,76.84,2.25,6.55,Therapy,32056,Yes,98.24,51,6.79,35637,0.53,68.7
Turkey,2018,Hepatitis,Metabolic,18.25,6.98,5.85,36-60,Other,269882,61.56,1.89,7.23,Surgery,7774,No,90.2,4907,3.79,23102,0.86,41.62
China,2011,Cancer,Neurological,16.07,2.38,2.87,36-60,Other,46629,60.9,2.91,6.47,Therapy,18162,No,94.56,235,4.04,11093,0.84,85.46
UK,2024,Ebola,Neurological,5.37,6.18,0.81,61+,Female,613423,69.99,3.33,0.85,Vaccination,30698,No,74.62,4192,8.95,49761,0.62,62.43
Turkey,2014,Malaria,Chronic,0.27,4.03,7.3,36-60,Male,173368,90.13,3.59,2.75,Vaccination,20298,Yes,61.77,1913,6.85,38402,0.77,44.73
France,2012,Tuberculosis,Infectious,1.15,12.38,4.69,0-18,Male,767781,52.58,3.69,0.51,Surgery,38867,Yes,56.48,4537,7.61,15578,0.86,33.18
Indonesia,2002,Tuberculosis,Parasitic,11.38,1.12,4.14,19-35,Other,139153,85.99,1.84,6.73,Medication,38995,Yes,63.8,3534,9.98,98934,0.75,28.14
Japan,2021,Ebola,Respiratory,8.56,2.2,5.88,61+,Male,184947,62.54,3.97,8.37,Therapy,36529,Yes,66.77,643,3.94,41919,0.53,24.49
China,2002,Polio,Infectious,10.78,3.72,3.98,36-60,Female,986471,59.34,1.77,4.72,Therapy,42087,Yes,84.75,2779,8.93,74467,0.66,67.16
Russia,2014,Ebola,Infectious,10.21,3.83,7.66,61+,Female,574085,91.67,3.29,7.17,Medication,23214,No,82.96,3832,7.64,64682,0.84,36.02
Saudi Arabia,2003,Malaria,Infectious,7.04,5.36,5.35,0-18,Other,833302,84.99,1.51,3.27,Therapy,15292,No,71.46,844,5.6,75727,0.78,30.47
Canada,2007,Zika,Cardiovascular,6.09,9.86,2.55,61+,Female,279594,90.67,0.83,6.32,Surgery,3158,Yes,86.78,4274,8.28,72975,0.52,46.85
India,2014,Dengue,Genetic,19.25,10.51,8.92,36-60,Female,815587,71.91,0.52,6.13,Vaccination,43029,Yes,50.65,4353,1.38,52576,0.61,73.49
Italy,2016,Asthma,Genetic,5.73,13.75,0.26,61+,Male,754112,85.54,4.38,7.59,Medication,20870,Yes,63.96,1064,0.64,51344,0.4,47.79
Turkey,2000,Measles,Parasitic,13.46,13.74,5.46,61+,Female,501272,76.13,2.1,1.51,Vaccination,24763,Yes,76.92,3364,5.42,82572,0.58,54.02
France,2019,Asthma,Genetic,13.2,10.79,4.12,36-60,Female,596893,71.66,2.54,3.53,Surgery,3132,No,96.68,3833,2.63,54156,0.84,22.48
Canada,2021,Cancer,Viral,7.55,12.9,7.15,61+,Female,566646,70.37,2,8.37,Surgery,1070,Yes,91.41,2214,7.64,94241,0.82,39.28
Indonesia,2010,Hepatitis,Neurological,1.15,2.74,8.86,0-18,Male,867279,77.32,3.99,0.74,Therapy,1781,Yes,54.96,3932,1.13,23190,0.73,46.12
Argentina,2010,Parkinson's Disease,Bacterial,19.63,7.34,3.9,19-35,Female,533594,81.82,0.57,9.13,Vaccination,40240,No,92.16,3465,1.36,99950,0.8,22.5
Argentina,2018,Polio,Bacterial,12.32,8.7,9.85,36-60,Female,787525,67.91,2.47,1.37,Therapy,4047,No,56.66,4087,4.26,30031,0.9,26.88
Russia,2023,Ebola,Genetic,2.27,5.52,1.16,19-35,Female,11257,53.72,3.58,0.55,Vaccination,22627,No,51.91,2617,1.19,66299,0.48,78.12
Canada,2000,Diabetes,Parasitic,15.54,11.14,8.39,19-35,Female,227665,85.79,4.82,0.79,Vaccination,41720,No,74.64,2926,6.81,8829,0.57,36.36
India,2007,Polio,Respiratory,7.65,0.68,0.82,61+,Male,582892,83.97,4.46,7.11,Surgery,43059,Yes,92.33,547,8.89,61882,0.9,56.93
